Timestamp	LineNumber	HighResolutionTotalVehicleDistance	HighResolutionEngineTotalFuelUsed	Variant
04:21:14				
04:21:15		11883005		
04:21:16		11881650		
04:21:17	0	11881650		
04:21:18		11881650		
04:21:19		11881650		
04:21:20		11881650		
04:21:21		11881650		
04:21:22		11881650		
04:21:23	0	11881650		
04:21:24	0	11881650		
04:21:25	0	11881650		
04:21:26	0	11881650		
04:21:27	0	11881650		
04:21:28		11881650		
04:21:29		11881650		
04:21:30		11881650		
04:21:31		11881650		
04:21:32		11881650		
04:21:33	0	11881650		
04:21:34	0	11881650		
04:21:35	0	11881650		
04:21:36	0	11881650		
04:21:37	0	11881650		
04:21:38	0	11881650		
04:21:39		11881650		
04:21:40		11881650		
04:21:41		11881650		
04:21:42		11881650		
04:21:43		11881650		
04:21:44	0	11881650		
04:21:45	0	11881650		
04:21:46	0	11881650		
04:21:47	0	11881650		
04:21:48	0	11881650		
04:21:49		11881650		
04:21:50		11881650		
04:21:51		11881650		
04:21:52		11881650		
04:21:53		11881650		
04:21:54	0	11881650		
04:21:55	0	11881650		
04:21:56	0	11881650		
04:21:57	0	11881650		
04:21:58	0	11881650		
04:21:59	0	11881650		
04:22:00		11881650		
04:22:01		11881650		
04:22:02		11881650		
04:22:03		11881650		
04:22:04		11881650		
04:22:05		11881650		
04:22:06		11881650		
04:22:07		11881650		
04:22:08		11881650		
04:22:09		11881650		
04:22:10		11881650		
04:22:11		11881650		
04:22:12	0	11881650		
04:22:13	0	11881650		
04:22:14	0	11881650		
04:22:15	0	11881650		
04:22:16	0	11881650		
04:22:17	0	11881650		
04:22:18		11881650		
04:22:19		11881650		
04:22:20		11881650		
04:22:21		11881650		
04:22:22		11881650		
04:22:23	0	11881650		
04:22:24	0	11881650		
04:22:25	0	11881650		
04:22:26	0	11881650		
04:22:27	0	11881650		
04:22:28		11881650		
04:22:29		11881650		
04:22:30		11881650		
04:22:31		11881650		
04:22:32		11881650		
04:22:33	0	11881650		
04:22:34	0	11881650		
04:22:35	470	11881650		
04:22:36	470	11881650		
04:22:37	470	11881650		
04:22:38	470	11881650		
04:22:39		11881650		
04:22:40		11881650		
04:22:41		11881650		
04:22:42		11881650		
04:22:43		11881650		
04:22:44	0	11881650		
04:22:45	0	11881650		
04:22:46	0	11881650		
04:22:47	0	11881650		
04:22:48	0	11881650		
04:22:49		11881650		
04:22:50		11881650		
04:22:51		11881650		
04:22:52		11881650		
04:22:53		11881650		
04:22:54	0	11881650		
04:22:55	0	11881650		
04:22:56	0	11881650		
04:22:57	0	11881650		
04:22:58	0	11881650		
04:22:59	0	11881650		
04:23:00		11881650		
04:23:01		11881650		
04:23:02		11881650		
04:23:03		11881650		
04:23:04		11881650		
04:23:05		11881650		
04:23:06		11881650		
04:23:07		11881650		
04:23:08		11881650		
04:23:09		11881650		
04:23:10		11881650		
04:23:11		11881650		
04:23:12	0	11881650		
04:23:13	0	11881650		
04:23:14	0	11881650		
04:23:15	0	11881650		
04:23:16	0	11881650		
04:23:17	0	11881650		
04:23:18		11881650		
04:23:19		11881650		
04:23:20		11881650		
04:23:21		11881650		
04:23:22		11881650		
04:23:23	0	11881650		
04:23:24	0	11881650		
04:23:25	0	11881650		
04:23:26	0	11881650		
04:23:27	0	11881650		
04:23:28		11881650		
04:23:29		11881650		
04:23:30		11881650		
04:23:31		11881650		
04:23:32		11881650		
04:23:33	0	11881650		
04:23:34	0	11881650		
04:23:35	0	11881650		
04:23:36	0	11881650		
04:23:37	0	11881650		
04:23:38	0	11881650		
04:23:39		11881650		
04:23:40		11881650		
04:23:41		11881650		
04:23:42		11881650		
04:23:43		11881650		
04:23:44	0	11881650		
04:23:45	0	11881650		
04:23:46	0	11881650		
04:23:47	0	11881650		
04:23:48	0	11881650		
04:23:49		11881650		
04:23:50		11881650		
04:23:51		11881650		
04:23:52		11881650		
04:23:53		11881650		
04:23:54	0	11881650		
04:23:55	0	11881650		
04:23:56	0	11881650		
04:23:57	0	11881650		
04:23:58	0	11881650		
04:23:59	0	11881650		
04:24:00		11881650		
04:24:01		11881650		
04:24:02		11881650		
04:24:03		11881650		
04:24:04		11881650		
04:24:05		11881650		
04:24:06		11881650		
04:24:07		11881650		
04:24:08		11881650		
04:24:09		11881650		
04:24:10		11881650		
04:24:11		11881650		
04:24:12	0	11881650		
04:24:13	0	11881650		
04:24:14	0	11881650		
04:24:15	0	11881650		
04:24:16	0	11881650		
04:24:17	0	11881650		
04:24:18		11881650		
04:24:19		11881650		
04:24:20		11881650		
04:24:21		11881650		
04:24:22		11881650		
04:24:23	0	11881650		
04:24:24	0	11881650		
04:24:25	0	11881650		
04:24:26	0	11881650		
04:24:27	0	11881650		
04:24:28		11881650		
04:24:29		11881650		
04:24:30		11881650		
04:24:31		11881650		
04:24:32		11881650		
04:24:33	0	11881650		
04:24:34	0	11881650		
04:24:35	0	11881650		
04:24:36	0	11881650		
04:24:37	0	11881650		
04:24:38	0	11881650		
04:24:39		11881650		
04:24:40		11881650		
04:24:41		11881650		
04:24:42		11881650		
04:24:43		11881650		
04:24:44	0	11881650		
04:24:45	0	11881650		
04:24:46	0	11881650		
04:24:47	0	11881650		
04:24:48	0	11881650		
04:24:49		11881650		
04:24:50		11881650		
04:24:51		11881650		
04:24:52		11881650		
04:24:53		11881650		
04:24:54	0	11881650		
04:24:55	0	11881650		
04:24:56	0	11881650		
04:24:57	0	11881650		
04:24:58	0	11881650		
04:24:59	0	11881650		
04:25:00		11881650		
04:25:01		11881650		
04:25:02		11881650		
04:25:03		11881650		
04:25:04		11881650		
04:25:05		11881650		
04:25:06		11881650		
04:25:07		11881650		
04:25:08		11881650		
04:25:09		11881650		
04:25:10		11881650		
04:25:11		11881650		
04:25:12	0	11881650		
04:25:13	0	11881650		
04:25:14	0	11881650		
04:25:15	0	11881650		
04:25:16	0	11881650		
04:25:17	0	11881650		
04:25:18		11881650		
04:25:19		11881650		
04:25:20		11881650		
04:25:21		11881650		
04:25:22		11881650		
04:25:23	0	11881650		
04:25:24	0	11881650		
04:25:25	0	11881650		
